,bin,time(ms),color change & not first & correct,no color change & not first & correct,
209154863,101,2519,-0.89793,0.51177,
209154863,102,2544,-0.93264,0.034024,
209154863,103,2569,-1.054,-0.046451,
209154863,104,2595,-0.98703,-0.19984,
209154863,105,2620,-0.82425,-0.10573,
209154863,106,2645,-0.90216,-0.22917,
209154863,107,2670,-0.85341,-0.098258,
209154863,108,2695,-0.63119,-0.14749,
209154863,109,2720,-0.82456,-0.39846,
209154863,110,2746,-0.7319,-0.24987,
209154863,111,2771,-0.56516,-0.22689,
209154863,112,2796,-0.49883,-0.24674,
209154863,113,2821,-0.25464,-0.52991,
209154863,114,2846,-0.083067,-0.28304,
209154863,115,2872,-0.20372,-0.45843,
209154863,116,2897,0.0093183,-0.45669,
209154863,117,2922,0.10506,-0.36315,
209154863,118,2947,-0.040741,-0.39729,
209154863,119,2972,0.28369,-0.52452,
209154863,120,2998,0.29987,-0.53389,
209154863,121,3023,0.34698,-0.24686,
209154863,122,3048,0.45641,-0.53681,
209154863,123,3073,0.62669,-0.43804,
209154863,124,3098,0.63702,-0.16574,
209154863,125,3123,0.84932,-0.23491,
209154863,126,3149,1.1689,-0.15527,
209154863,127,3174,1.4615,-0.20353,
209154863,128,3199,1.6037,-0.084,
209154863,129,3224,1.6504,0.09698,
209154863,130,3249,1.6758,0.11817,
209154863,131,3275,1.8997,0.5234,
209154863,132,3300,0.22358,
209154863,133,3325,0.55196,
211335542,1,0,0,0,
211335542,2,25,1.0133,-0.68397,
211335542,3,50,0.60048,0.81765,
211335542,4,76,0.20516,1.0428,
211335542,5,101,0.88244,-0.59139,
211335542,6,126,0.193,0.4078,
211335542,7,151,0.43925,0.32417,
211335542,8,176,0.25661,0.48965,
211335542,9,202,-0.072708,-0.20136,
211335542,10,227,0.25221,-0.41611,
211335542,11,252,-0.35799,-0.2924,
211335542,12,277,-0.5971,0.045723,
211335542,13,302,0.26311,0.4176,
211335542,14,328,-0.76482,-0.033622,
211335542,15,353,-0.47978,0.081297,
211335542,16,378,-0.26288,0.35535,
211335542,17,403,-0.66014,-0.86355,
211335542,18,429,-0.69372,0.45085,
211335542,19,454,-0.35904,-0.28765,
211335542,20,479,0.40643,-0.52537,
211335542,21,504,-0.60279,-1.1026,
211335542,22,529,-0.036328,-1.2025,
211335542,23,555,-0.11363,-1.1127,
211335542,24,580,-0.44805,-0.54654,
211335542,25,605,-1.3811,-0.010899,
211335542,26,630,-0.75348,-0.39946,
211335542,27,655,-1.7277,-0.17497,
211335542,28,681,-0.52345,0.7135,
211335542,29,706,-0.99945,-0.055024,
211335542,30,731,-0.075548,-0.84743,
211335542,31,756,-1.287,-0.028303,
211335542,32,781,0.19299,-0.54018,
211335542,33,807,0.041776,-0.14275,
211335542,34,832,-0.22483,-0.50989,
211335542,35,857,0.32802,-0.9116,
211335542,36,882,0.27861,-1.7553,
211335542,37,907,0.57469,-1.3482,
211335542,38,933,0.42061,0.45354,
211335542,39,958,0.14409,-1.0433,
211335542,40,983,0.8543,-0.15363,
211335542,41,1008,0.33095,-0.71417,
211335542,42,1033,-0.33323,-0.4722,
211335542,43,1059,0.56304,-1.1385,
211335542,44,1084,0.79716,-0.5505,
211335542,45,1109,0.5873,-0.2021,
211335542,46,1134,0.56145,0.33824,
211335542,47,1160,1.2242,0.17797,
211335542,48,1185,0.81673,-0.35686,
211335542,49,1210,1.0152,-0.52307,
211335542,50,1235,1.3828,-0.25641,
