,bin,time(ms),color change & not first & update & correct,no color change & not first & no update & correct,
209154863,44,1083,1.4056,1.5993,
209154863,45,1108,1.7388,1.6798,
209154863,46,1133,1.7565,2.1052,
209154863,47,1159,1.6842,2.215,
209154863,48,1184,2.1526,2.0368,
209154863,49,1209,2.0822,2.4378,
209154863,50,1234,2.0678,2.4758,
209154863,51,1259,2.4281,2.7563,
209154863,52,1285,2.671,2.9293,
209154863,53,1310,2.6919,2.9358,
209154863,54,1335,2.8598,2.9195,
209154863,55,1360,3.3153,3.0158,
209154863,56,1385,3.42,3.0767,
209154863,57,1411,3.4366,3.0841,
209154863,58,1436,3.2097,2.882,
209154863,59,1461,3.4078,2.8388,
209154863,60,1486,3.4317,2.8621,
209154863,61,1511,3.1123,2.9326,
209154863,62,1536,3.023,2.8269,
209154863,63,1562,2.8599,2.5187,
209154863,64,1587,2.5997,2.3123,
209154863,65,1612,2.1204,2.1046,
209154863,66,1637,1.6105,1.8427,
209154863,67,1662,1.6133,1.6266,
209154863,68,1688,1.7799,1.4438,
209154863,69,1713,1.2504,1.0139,
209154863,70,1738,1.4235,1.1929,
209154863,71,1763,1.2368,0.95807,
209154863,72,1788,1.0855,0.66238,
209154863,73,1814,0.99198,0.74754,
209154863,74,1839,0.67686,0.94167,
209154863,75,1864,0.74047,0.48315,
209154863,76,1889,1.0233,0.71948,
209154863,77,1914,1.1641,0.88719,
209154863,78,1939,1.0022,0.49852,
209154863,79,1965,1.1722,0.53165,
209154863,80,1990,1.3539,0.68101,
209154863,81,2015,1.4598,0.1205,
209154863,82,2040,1.3863,-0.055473,
209154863,83,2065,1.1988,0.56141,
209154863,84,2091,1.2326,0.12198,
209154863,85,2116,1.2516,-0.031508,
209154863,86,2141,1.4214,0.1892,
209154863,87,2166,1.494,0.097031,
209154863,88,2191,1.1025,-0.050107,
209154863,89,2217,0.76612,-0.055722,
209154863,90,2242,0.74891,-0.31538,
209154863,91,2267,0.46249,-0.46528,
209154863,92,2292,0.38387,-0.50369,
209154863,93,2317,0.34841,-0.48422,
209154863,94,2342,0.56912,-0.65835,
