,bin,time(ms),not first & no update & correct,not first & update & correct,
209049931,45,1111,-0.21045,0.01041,
209049931,46,1137,-0.16538,0.0098201,
209049931,47,1162,-0.1245,0.047622,
209049931,48,1187,-0.17509,-0.011281,
209049931,49,1212,-0.16303,0.0074517,
209049931,50,1238,-0.14185,0.02355,
209049931,51,1263,-0.16301,0.017911,
209049931,52,1288,-0.22418,-0.021365,
209049931,53,1313,-0.20003,-0.0067105,
209049931,54,1339,-0.23771,0.039794,
209049931,55,1364,-0.19902,-0.01628,
209049931,56,1389,-0.24948,-0.026445,
209049931,57,1414,-0.26975,-0.012045,
209049931,58,1440,-0.22876,-0.050384,
209049931,59,1465,-0.25362,-0.04834,
209049931,60,1490,-0.2705,-0.10429,
209049931,61,1515,-0.2994,-0.077161,
209049931,62,1541,-0.2923,-0.068081,
209049931,63,1566,-0.32454,-0.098298,
209049931,64,1591,-0.2927,-0.065855,
209049931,65,1616,-0.34207,-0.070495,
209049931,66,1642,-0.3063,-0.079133,
209049931,67,1667,-0.31086,-0.11254,
209049931,68,1692,-0.30182,-0.13884,
209049931,69,1718,-0.32158,-0.14157,
209049931,70,1743,-0.25441,-0.087636,
209049931,71,1768,-0.24653,-0.090025,
209049931,72,1793,-0.23881,-0.10632,
209049931,73,1819,-0.15996,-0.14178,
209049931,74,1844,-0.17553,-0.069793,
209049931,75,1869,-0.1808,-0.06771,
209049931,76,1894,-0.19985,-0.047767,
209049931,77,1920,-0.22132,-0.073853,
209049931,78,1945,-0.20538,-0.09797,
209049931,79,1970,-0.20206,-0.088286,
209049931,80,1995,-0.23472,-0.029415,
209049931,81,2021,-0.21206,-0.086547,
209049931,82,2046,-0.26026,-0.049087,
209049931,83,2071,-0.27383,-0.0033061,
209049931,84,2096,-0.24533,-0.062634,
209049931,85,2122,-0.34557,-0.048175,
209049931,86,2147,-0.33371,-0.092413,
209049931,87,2172,-0.37683,-0.11372,
209049931,88,2197,-0.38779,-0.067404,
209049931,89,2223,-0.29192,-0.046965,
209049931,90,2248,-0.30462,-0.060565,
209049931,91,2273,-0.27114,-0.12333,
209049931,92,2298,-0.27835,-0.14651,
209049931,93,2324,-0.29037,-0.078841,
209049931,94,2349,-0.2926,-0.06281,
209049931,95,2374,-0.061965,
209049931,96,2399,-0.054508,
209049931,97,2425,-0.047087,
209049931,98,2450,-0.032482,
209154863,1,0,-0.025311,-0.13079,
209154863,2,25,-0.048238,-0.1155,
209154863,3,50,-0.036158,-0.11984,
209154863,4,76,-0.093161,-0.17372,
209154863,5,101,-0.098525,-0.14306,
209154863,6,126,-0.10186,-0.17156,
209154863,7,151,-0.1353,-0.17622,
209154863,8,176,-0.13065,-0.19762,
209154863,9,201,-0.12825,-0.214,
209154863,10,227,-0.14539,-0.2407,
209154863,11,252,-0.15626,-0.23581,
209154863,12,277,-0.15484,-0.24859,
209154863,13,302,-0.16306,-0.22761,
209154863,14,327,-0.16646,-0.22399,
209154863,15,353,-0.15712,-0.23646,
209154863,16,378,-0.18358,-0.27345,
209154863,17,403,-0.17743,-0.27169,
209154863,18,428,-0.19801,-0.28084,
209154863,19,453,-0.2061,-0.25065,
209154863,20,479,-0.20486,-0.26097,
